strategy,steps_mean,steps_std,total_price_mean,total_price_std,eet_mean,eet_std,rejected_tasks_mean,rejected_tasks_std,completed_jobs_mean,completed_jobs_std,wall_time_mean,wall_time_std,jains_fairness_mean,jains_fairness_std,active_server_ratio_mean,active_server_ratio_std,her_mean,her_std
random,7200.0,0.0,90340.002,4718.5734,300.1329,15.6763,0.0,0.0,301.0,0.0,651.704,24.9248,0.1743,0.0099,0.1982,0.0112,0.5,0.0
round_robin,7200.0,0.0,94960.66,3678.7528,315.4839,12.2218,0.0,0.0,301.0,0.0,654.88,23.2485,0.1965,0.008,0.2113,0.0087,0.5,0.0
least_loaded,7200.0,0.0,85345.876,4355.0225,283.5411,14.4685,0.0,0.0,301.0,0.0,656.366,25.0736,0.1628,0.0052,0.1848,0.007,0.5,0.0
best_fit,2751.6,119.0187,1710.332,264.6551,7.5309,1.2658,795.0,123.4617,227.6,3.0067,612.608,24.3815,0.0067,0.0005,0.0048,0.0,0.5,0.0
energy_greedy,7200.0,0.0,85464.74,4701.1969,283.936,15.6186,0.0,0.0,301.0,0.0,653.64,26.2668,0.162,0.0055,0.1846,0.007,0.5,0.0
idqn,3760.4,215.5677,7521.77,638.705,27.7729,2.2954,437.4,51.9022,270.8,2.7857,630.248,24.6246,0.0177,0.0009,0.0237,0.0012,0.5,0.0
vdn,3023.0,94.6573,3635.09,208.3187,15.1734,0.5547,719.0,88.0954,239.4,4.9234,608.332,27.4225,0.0116,0.0008,0.0132,0.0005,0.5,0.0
qmix,3024.0,80.07,3044.234,272.7668,12.7969,1.189,674.6,72.2955,238.0,4.6904,612.614,28.937,0.0095,0.0008,0.0101,0.001,0.5,0.0
mappo,2752.8,90.3646,1880.718,324.4205,8.3566,1.4382,796.8,88.4588,225.2,7.1106,612.63,24.8524,0.0063,0.0008,0.0048,0.0,0.5,0.0
maddpg,2727.2,102.9843,1630.88,199.5533,7.1116,0.881,811.6,86.1988,229.4,3.2619,616.424,29.5681,0.0066,0.0003,0.0053,0.0002,0.5,0.0
