server_mix,use_hetero,strategy,steps_mean,steps_std,total_price_mean,total_price_std,eet_mean,eet_std,rejected_tasks_mean,rejected_tasks_std,completed_jobs_mean,completed_jobs_std,wall_time_mean,wall_time_std,jains_fairness_mean,jains_fairness_std,active_server_ratio_mean,active_server_ratio_std,her_mean,her_std
balanced,True,energy_greedy,7200.0,0.0,75125.738,2669.2381,249.5872,8.8679,0.0,0.0,301.0,0.0,653.29,25.1402,0.1542,0.005,0.1753,0.0058,1.0,0.0
balanced,True,least_loaded,7200.0,0.0,87253.648,3798.3324,289.8792,12.619,0.0,0.0,301.0,0.0,651.096,25.6144,0.162,0.0055,0.1841,0.0072,0.0823,0.008
balanced,True,round_robin,7200.0,0.0,93787.808,4434.2421,311.5874,14.7317,0.0,0.0,301.0,0.0,654.602,24.5783,0.1979,0.0086,0.2128,0.0096,0.5728,0.0025
balanced,True,qmix,2750.4,111.7526,1510.47,132.2984,6.6667,0.5112,814.4,82.2645,226.4,4.3174,612.334,25.3884,0.0074,0.0011,0.0061,0.0003,0.96,0.0109
balanced,True,maddpg,2726.2,80.2207,1591.504,45.234,7.0492,0.2228,808.0,109.0358,225.8,1.7205,615.398,32.5021,0.0069,0.0011,0.0052,0.0002,0.6621,0.0141
balanced,False,energy_greedy,7200.0,0.0,75446.22,2662.9568,250.6519,8.847,0.0,0.0,301.0,0.0,654.592,26.4119,0.1547,0.0044,0.176,0.0059,1.0,0.0
balanced,False,least_loaded,7200.0,0.0,87922.176,4543.7506,292.1003,15.0955,0.0,0.0,301.0,0.0,652.822,24.2725,0.1633,0.0073,0.1858,0.0093,0.0833,0.011
balanced,False,round_robin,7200.0,0.0,93175.352,3952.5689,309.5527,13.1315,0.0,0.0,301.0,0.0,654.602,25.6929,0.1968,0.008,0.2115,0.0088,0.5718,0.004
balanced,False,qmix,2780.8,88.8828,1510.146,122.37,6.5991,0.3719,808.0,85.7321,228.6,8.2365,614.688,28.8437,0.0074,0.0005,0.006,0.0004,0.9612,0.0099
balanced,False,maddpg,2765.2,89.7071,1598.76,54.3656,7.0803,0.1979,833.4,53.0683,225.8,3.8678,608.522,23.8957,0.0061,0.0004,0.005,0.0001,0.6679,0.0135
legacy,True,energy_greedy,7200.0,0.0,54722.696,1353.8655,181.803,4.4979,0.0,0.0,301.0,0.0,654.254,23.4705,0.113,0.0014,0.1225,0.0021,0.9988,0.0017
legacy,True,least_loaded,7200.0,0.0,88224.494,4415.3421,293.1046,14.6689,0.0,0.0,301.0,0.0,652.268,23.9459,0.1616,0.0061,0.1837,0.0081,0.0045,0.002
legacy,True,round_robin,7200.0,0.0,96162.814,4553.375,319.4778,15.1275,0.0,0.0,301.0,0.0,652.888,26.4349,0.1978,0.0086,0.2127,0.0095,0.2844,0.0029
legacy,True,qmix,2768.0,105.4438,1400.862,112.5383,6.2071,0.5209,809.6,132.4924,225.8,5.1923,613.108,21.2524,0.007,0.0007,0.0054,0.0002,0.9394,0.0118
legacy,True,maddpg,2804.8,76.1325,2823.988,148.3951,12.1943,0.6068,812.2,92.4303,231.6,4.5869,612.694,21.5768,0.0076,0.0004,0.0091,0.0004,0.1161,0.024
legacy,False,energy_greedy,7200.0,0.0,54749.772,1686.2022,181.8929,5.602,0.0,0.0,301.0,0.0,653.734,26.1454,0.1132,0.0019,0.1227,0.0029,0.9985,0.0022
legacy,False,least_loaded,7200.0,0.0,88614.954,3847.1543,294.4018,12.7812,0.0,0.0,301.0,0.0,653.712,24.4055,0.1627,0.0048,0.1849,0.0068,0.0047,0.0017
legacy,False,round_robin,7200.0,0.0,96056.738,4505.0332,319.1254,14.9669,0.0,0.0,301.0,0.0,652.146,24.1217,0.1978,0.0085,0.2126,0.0094,0.2855,0.0036
legacy,False,qmix,2775.6,119.6822,1398.084,83.7602,6.02,0.3241,808.6,80.936,232.2,4.49,614.284,22.4314,0.0069,0.0007,0.0054,0.0002,0.9411,0.0136
legacy,False,maddpg,2789.2,102.6887,2761.164,240.7338,11.7218,1.016,810.8,83.6598,235.6,3.8262,618.734,28.4868,0.0083,0.001,0.0087,0.0009,0.1128,0.0179
modern,True,energy_greedy,7200.0,0.0,78399.698,2249.8782,260.4641,7.4747,0.0,0.0,301.0,0.0,655.218,23.5791,0.1613,0.0035,0.1832,0.0049,1.0,0.0
modern,True,least_loaded,7200.0,0.0,85158.824,3555.1487,282.9197,11.8111,0.0,0.0,301.0,0.0,655.764,26.8535,0.1633,0.0052,0.1853,0.0075,0.3648,0.0102
modern,True,round_robin,7200.0,0.0,91915.594,3706.9695,305.3674,12.3155,0.0,0.0,301.0,0.0,653.06,24.8688,0.198,0.0076,0.213,0.0085,0.7853,0.002
modern,True,qmix,2808.8,118.1836,1552.812,84.605,6.7613,0.2428,773.0,77.5061,229.6,7.6837,613.604,25.8265,0.0074,0.0003,0.0062,0.0003,0.9963,0.0016
modern,True,maddpg,2734.4,93.1957,1282.968,38.1862,5.673,0.1751,833.6,87.5137,226.2,4.1183,609.342,23.3289,0.0069,0.0003,0.0051,0.0001,1.0,0.0
modern,False,energy_greedy,7200.0,0.0,78355.464,2606.4937,260.3172,8.6594,0.0,0.0,301.0,0.0,652.414,24.2032,0.1611,0.0041,0.1833,0.0058,1.0,0.0
modern,False,least_loaded,7200.0,0.0,85101.428,3497.2058,282.729,11.6186,0.0,0.0,301.0,0.0,654.702,24.1318,0.1619,0.0051,0.1845,0.0069,0.3662,0.0106
modern,False,round_robin,7200.0,0.0,91858.86,3733.7238,305.179,12.4044,0.0,0.0,301.0,0.0,652.378,24.3722,0.1979,0.0074,0.2128,0.0083,0.784,0.002
modern,False,qmix,2802.4,103.7643,1592.524,105.3175,6.9004,0.3093,762.2,95.0082,230.6,6.2801,612.598,22.5475,0.0076,0.0004,0.0064,0.0005,0.9963,0.0016
modern,False,maddpg,2744.8,78.9086,1282.398,53.4286,5.6126,0.2567,834.2,68.01,228.6,5.5714,614.174,23.2835,0.0064,0.0006,0.0051,0.0001,0.9992,0.0016
