episode=1, steps=5460, epsilon=0.0100, server_farm_reward=2236.9000, server_reward=1985.6900, episode_total_reward=4222.5900, avg_reward_per_step=0.7734
episode=2, steps=5756, epsilon=0.0100, server_farm_reward=1921.2800, server_reward=1841.1400, episode_total_reward=3762.4200, avg_reward_per_step=0.6537
episode=3, steps=5430, epsilon=0.0100, server_farm_reward=2065.1500, server_reward=1941.4300, episode_total_reward=4006.5800, avg_reward_per_step=0.7379
episode=4, steps=5492, epsilon=0.0100, server_farm_reward=2066.0100, server_reward=1967.1800, episode_total_reward=4033.1900, avg_reward_per_step=0.7344
episode=5, steps=6014, epsilon=0.0100, server_farm_reward=2173.9500, server_reward=1975.6800, episode_total_reward=4149.6300, avg_reward_per_step=0.6900
episode=6, steps=5556, epsilon=0.0100, server_farm_reward=2387.2500, server_reward=2179.1500, episode_total_reward=4566.4000, avg_reward_per_step=0.8219
episode=7, steps=6312, epsilon=0.0100, server_farm_reward=2822.6500, server_reward=2443.5500, episode_total_reward=5266.2000, avg_reward_per_step=0.8343
episode=8, steps=6022, epsilon=0.0100, server_farm_reward=2410.4500, server_reward=2288.5700, episode_total_reward=4699.0200, avg_reward_per_step=0.7803
episode=9, steps=5824, epsilon=0.0100, server_farm_reward=1950.8200, server_reward=1876.8500, episode_total_reward=3827.6700, avg_reward_per_step=0.6572
episode=10, steps=6484, epsilon=0.0100, server_farm_reward=3005.6400, server_reward=2585.4700, episode_total_reward=5591.1100, avg_reward_per_step=0.8623
episode=11, steps=5434, epsilon=0.0100, server_farm_reward=2079.1700, server_reward=1901.1400, episode_total_reward=3980.3100, avg_reward_per_step=0.7325
episode=12, steps=6332, epsilon=0.0100, server_farm_reward=2909.0200, server_reward=2531.5300, episode_total_reward=5440.5500, avg_reward_per_step=0.8592
episode=13, steps=6084, epsilon=0.0100, server_farm_reward=2668.2700, server_reward=2335.8400, episode_total_reward=5004.1100, avg_reward_per_step=0.8225
episode=14, steps=5678, epsilon=0.0100, server_farm_reward=2380.6800, server_reward=2126.3300, episode_total_reward=4507.0100, avg_reward_per_step=0.7938
episode=15, steps=5420, epsilon=0.0100, server_farm_reward=1907.4800, server_reward=1819.9000, episode_total_reward=3727.3800, avg_reward_per_step=0.6877
episode=16, steps=5328, epsilon=0.0100, server_farm_reward=1942.6200, server_reward=1787.0300, episode_total_reward=3729.6500, avg_reward_per_step=0.7000
episode=17, steps=5696, epsilon=0.0100, server_farm_reward=2369.2600, server_reward=2106.6000, episode_total_reward=4475.8600, avg_reward_per_step=0.7858
episode=18, steps=5336, epsilon=0.0100, server_farm_reward=1988.3900, server_reward=1724.3100, episode_total_reward=3712.7000, avg_reward_per_step=0.6958
episode=19, steps=5278, epsilon=0.0100, server_farm_reward=1702.3000, server_reward=1672.2300, episode_total_reward=3374.5300, avg_reward_per_step=0.6394
episode=20, steps=5132, epsilon=0.0100, server_farm_reward=1731.7200, server_reward=1642.5600, episode_total_reward=3374.2800, avg_reward_per_step=0.6575
