episode=1, steps=794, epsilon=0.9688, server_farm_reward=456.0800, server_reward=384.2600, episode_total_reward=840.3400, avg_reward_per_step=1.0584, rejected_tasks=94, completed_jobs=54, wall_time=131.42
episode=2, steps=800, epsilon=0.9371, server_farm_reward=532.9000, server_reward=452.0900, episode_total_reward=984.9900, avg_reward_per_step=1.2312, rejected_tasks=58, completed_jobs=55, wall_time=169.26
episode=3, steps=760, epsilon=0.9070, server_farm_reward=426.2900, server_reward=350.8500, episode_total_reward=777.1400, avg_reward_per_step=1.0226, rejected_tasks=107, completed_jobs=55, wall_time=151.07
episode=4, steps=730, epsilon=0.8781, server_farm_reward=434.1500, server_reward=368.0100, episode_total_reward=802.1600, avg_reward_per_step=1.0988, rejected_tasks=115, completed_jobs=54, wall_time=183.99
episode=5, steps=974, epsilon=0.8395, server_farm_reward=642.8400, server_reward=547.7300, episode_total_reward=1190.5700, avg_reward_per_step=1.2224, rejected_tasks=39, completed_jobs=57, wall_time=196.46
episode=6, steps=750, epsilon=0.8098, server_farm_reward=482.4100, server_reward=399.3700, episode_total_reward=881.7800, avg_reward_per_step=1.1757, rejected_tasks=64, completed_jobs=55, wall_time=172.05
episode=7, steps=820, epsilon=0.7773, server_farm_reward=514.1900, server_reward=432.0900, episode_total_reward=946.2800, avg_reward_per_step=1.1540, rejected_tasks=39, completed_jobs=55, wall_time=145.78
episode=8, steps=780, epsilon=0.7464, server_farm_reward=501.3400, server_reward=420.8300, episode_total_reward=922.1700, avg_reward_per_step=1.1823, rejected_tasks=50, completed_jobs=54, wall_time=174.68
episode=9, steps=660, epsilon=0.7203, server_farm_reward=373.5400, server_reward=306.4000, episode_total_reward=679.9400, avg_reward_per_step=1.0302, rejected_tasks=87, completed_jobs=53, wall_time=185.47
episode=10, steps=876, epsilon=0.6856, server_farm_reward=554.5000, server_reward=462.7600, episode_total_reward=1017.2600, avg_reward_per_step=1.1613, rejected_tasks=50, completed_jobs=57, wall_time=162.23
episode=11, steps=798, epsilon=0.6540, server_farm_reward=529.3700, server_reward=434.8300, episode_total_reward=964.2000, avg_reward_per_step=1.2083, rejected_tasks=31, completed_jobs=56, wall_time=161.64
episode=12, steps=860, epsilon=0.6200, server_farm_reward=552.8500, server_reward=478.7600, episode_total_reward=1031.6100, avg_reward_per_step=1.1995, rejected_tasks=55, completed_jobs=54, wall_time=147.75
episode=13, steps=842, epsilon=0.5866, server_farm_reward=568.4000, server_reward=480.7100, episode_total_reward=1049.1100, avg_reward_per_step=1.2460, rejected_tasks=52, completed_jobs=57, wall_time=174.02
episode=14, steps=670, epsilon=0.5601, server_farm_reward=383.9200, server_reward=309.2400, episode_total_reward=693.1600, avg_reward_per_step=1.0346, rejected_tasks=64, completed_jobs=54, wall_time=149.58
episode=15, steps=1044, epsilon=0.5187, server_farm_reward=692.4400, server_reward=593.2900, episode_total_reward=1285.7300, avg_reward_per_step=1.2315, rejected_tasks=40, completed_jobs=57, wall_time=159.53
episode=16, steps=746, epsilon=0.4892, server_farm_reward=449.4300, server_reward=384.1100, episode_total_reward=833.5400, avg_reward_per_step=1.1173, rejected_tasks=70, completed_jobs=53, wall_time=134.31
episode=17, steps=800, epsilon=0.4575, server_farm_reward=478.4400, server_reward=403.9500, episode_total_reward=882.3900, avg_reward_per_step=1.1030, rejected_tasks=91, completed_jobs=55, wall_time=159.47
episode=18, steps=862, epsilon=0.4234, server_farm_reward=528.2900, server_reward=454.4000, episode_total_reward=982.6900, avg_reward_per_step=1.1400, rejected_tasks=64, completed_jobs=53, wall_time=158.16
episode=19, steps=762, epsilon=0.3932, server_farm_reward=436.2300, server_reward=364.9000, episode_total_reward=801.1300, avg_reward_per_step=1.0514, rejected_tasks=118, completed_jobs=55, wall_time=170.21
episode=20, steps=994, epsilon=0.3538, server_farm_reward=667.0100, server_reward=563.0400, episode_total_reward=1230.0500, avg_reward_per_step=1.2375, rejected_tasks=35, completed_jobs=58, wall_time=167.93
episode=21, steps=646, epsilon=0.3283, server_farm_reward=391.8300, server_reward=323.6100, episode_total_reward=715.4400, avg_reward_per_step=1.1075, rejected_tasks=63, completed_jobs=53, wall_time=153.09
episode=22, steps=606, epsilon=0.3043, server_farm_reward=317.0000, server_reward=257.6800, episode_total_reward=574.6800, avg_reward_per_step=0.9483, rejected_tasks=80, completed_jobs=53, wall_time=165.07
