episode=1, steps=474, server_farm_reward=54.1390, server_reward=55.7060, episode_total_reward=109.8450, avg_reward_per_step=0.2317
episode=2, steps=476, server_farm_reward=52.4240, server_reward=54.1520, episode_total_reward=106.5760, avg_reward_per_step=0.2239
episode=3, steps=444, server_farm_reward=50.8780, server_reward=52.3960, episode_total_reward=103.2740, avg_reward_per_step=0.2326
episode=4, steps=476, server_farm_reward=54.9230, server_reward=56.7860, episode_total_reward=111.7090, avg_reward_per_step=0.2347
episode=5, steps=456, server_farm_reward=50.5490, server_reward=52.2620, episode_total_reward=102.8110, avg_reward_per_step=0.2255
episode=6, steps=478, server_farm_reward=69.4200, server_reward=71.2960, episode_total_reward=140.7160, avg_reward_per_step=0.2944
episode=7, steps=490, server_farm_reward=60.2170, server_reward=61.8900, episode_total_reward=122.1070, avg_reward_per_step=0.2492
episode=8, steps=468, server_farm_reward=54.9660, server_reward=56.8160, episode_total_reward=111.7820, avg_reward_per_step=0.2389
episode=9, steps=478, server_farm_reward=60.6130, server_reward=62.3620, episode_total_reward=122.9750, avg_reward_per_step=0.2573
episode=10, steps=458, server_farm_reward=56.4430, server_reward=58.1660, episode_total_reward=114.6090, avg_reward_per_step=0.2502
episode=11, steps=478, server_farm_reward=61.7280, server_reward=63.5960, episode_total_reward=125.3240, avg_reward_per_step=0.2622
episode=12, steps=478, server_farm_reward=59.0760, server_reward=60.7520, episode_total_reward=119.8280, avg_reward_per_step=0.2507
episode=13, steps=470, server_farm_reward=56.1610, server_reward=57.8540, episode_total_reward=114.0150, avg_reward_per_step=0.2426
episode=14, steps=444, server_farm_reward=45.6390, server_reward=47.1460, episode_total_reward=92.7850, avg_reward_per_step=0.2090
episode=15, steps=488, server_farm_reward=60.9370, server_reward=62.4820, episode_total_reward=123.4190, avg_reward_per_step=0.2529
episode=16, steps=470, server_farm_reward=59.2270, server_reward=61.0140, episode_total_reward=120.2410, avg_reward_per_step=0.2558
episode=17, steps=476, server_farm_reward=60.2050, server_reward=61.9700, episode_total_reward=122.1750, avg_reward_per_step=0.2567
episode=18, steps=458, server_farm_reward=54.8840, server_reward=56.5600, episode_total_reward=111.4440, avg_reward_per_step=0.2433
episode=19, steps=456, server_farm_reward=55.5960, server_reward=57.2640, episode_total_reward=112.8600, avg_reward_per_step=0.2475
episode=20, steps=484, server_farm_reward=58.2610, server_reward=59.9300, episode_total_reward=118.1910, avg_reward_per_step=0.2442
episode=21, steps=474, server_farm_reward=54.6110, server_reward=56.3020, episode_total_reward=110.9130, avg_reward_per_step=0.2340
episode=22, steps=502, server_farm_reward=68.2940, server_reward=70.1760, episode_total_reward=138.4700, avg_reward_per_step=0.2758
episode=23, steps=472, server_farm_reward=60.2210, server_reward=62.1020, episode_total_reward=122.3230, avg_reward_per_step=0.2592
episode=24, steps=460, server_farm_reward=50.2840, server_reward=51.8640, episode_total_reward=102.1480, avg_reward_per_step=0.2221
episode=25, steps=468, server_farm_reward=52.8600, server_reward=54.4800, episode_total_reward=107.3400, avg_reward_per_step=0.2294
episode=26, steps=454, server_farm_reward=56.3780, server_reward=58.1920, episode_total_reward=114.5700, avg_reward_per_step=0.2524
episode=27, steps=472, server_farm_reward=56.6000, server_reward=58.2200, episode_total_reward=114.8200, avg_reward_per_step=0.2433
episode=28, steps=426, server_farm_reward=39.7630, server_reward=41.2580, episode_total_reward=81.0210, avg_reward_per_step=0.1902
episode=29, steps=460, server_farm_reward=52.0730, server_reward=53.7740, episode_total_reward=105.8470, avg_reward_per_step=0.2301
episode=30, steps=470, server_farm_reward=54.4670, server_reward=56.1380, episode_total_reward=110.6050, avg_reward_per_step=0.2353
episode=31, steps=486, server_farm_reward=55.0000, server_reward=56.7920, episode_total_reward=111.7920, avg_reward_per_step=0.2300
episode=32, steps=478, server_farm_reward=55.9370, server_reward=57.7740, episode_total_reward=113.7110, avg_reward_per_step=0.2379
episode=33, steps=466, server_farm_reward=56.1750, server_reward=57.8500, episode_total_reward=114.0250, avg_reward_per_step=0.2447
episode=34, steps=474, server_farm_reward=52.8040, server_reward=54.4920, episode_total_reward=107.2960, avg_reward_per_step=0.2264
episode=35, steps=488, server_farm_reward=60.4650, server_reward=62.4460, episode_total_reward=122.9110, avg_reward_per_step=0.2519
episode=36, steps=478, server_farm_reward=55.2790, server_reward=56.9180, episode_total_reward=112.1970, avg_reward_per_step=0.2347
episode=37, steps=438, server_farm_reward=48.0370, server_reward=49.6060, episode_total_reward=97.6430, avg_reward_per_step=0.2229
episode=38, steps=452, server_farm_reward=44.4600, server_reward=46.1040, episode_total_reward=90.5640, avg_reward_per_step=0.2004
episode=39, steps=468, server_farm_reward=59.2480, server_reward=61.1760, episode_total_reward=120.4240, avg_reward_per_step=0.2573
episode=40, steps=478, server_farm_reward=58.2790, server_reward=60.2900, episode_total_reward=118.5690, avg_reward_per_step=0.2481
episode=41, steps=446, server_farm_reward=48.1720, server_reward=49.6440, episode_total_reward=97.8160, avg_reward_per_step=0.2193
episode=42, steps=434, server_farm_reward=45.0170, server_reward=46.5980, episode_total_reward=91.6150, avg_reward_per_step=0.2111
episode=43, steps=426, server_farm_reward=42.6260, server_reward=44.1520, episode_total_reward=86.7780, avg_reward_per_step=0.2037
episode=44, steps=448, server_farm_reward=42.9750, server_reward=44.4260, episode_total_reward=87.4010, avg_reward_per_step=0.1951
episode=45, steps=456, server_farm_reward=48.7180, server_reward=50.1560, episode_total_reward=98.8740, avg_reward_per_step=0.2168
episode=46, steps=460, server_farm_reward=55.0720, server_reward=56.6560, episode_total_reward=111.7280, avg_reward_per_step=0.2429
episode=47, steps=458, server_farm_reward=52.0580, server_reward=53.4920, episode_total_reward=105.5500, avg_reward_per_step=0.2305
episode=48, steps=502, server_farm_reward=57.0830, server_reward=58.9900, episode_total_reward=116.0730, avg_reward_per_step=0.2312
episode=49, steps=460, server_farm_reward=52.6520, server_reward=54.1280, episode_total_reward=106.7800, avg_reward_per_step=0.2321
episode=50, steps=442, server_farm_reward=42.0560, server_reward=43.5760, episode_total_reward=85.6320, avg_reward_per_step=0.1937
episode=51, steps=460, server_farm_reward=48.8910, server_reward=50.4820, episode_total_reward=99.3730, avg_reward_per_step=0.2160
episode=52, steps=448, server_farm_reward=47.1660, server_reward=48.6320, episode_total_reward=95.7980, avg_reward_per_step=0.2138
episode=53, steps=460, server_farm_reward=50.9630, server_reward=52.5740, episode_total_reward=103.5370, avg_reward_per_step=0.2251
episode=54, steps=488, server_farm_reward=61.2940, server_reward=63.2600, episode_total_reward=124.5540, avg_reward_per_step=0.2552
episode=55, steps=496, server_farm_reward=57.5030, server_reward=59.4020, episode_total_reward=116.9050, avg_reward_per_step=0.2357
episode=56, steps=458, server_farm_reward=50.0830, server_reward=51.5020, episode_total_reward=101.5850, avg_reward_per_step=0.2218
episode=57, steps=450, server_farm_reward=41.6220, server_reward=42.8960, episode_total_reward=84.5180, avg_reward_per_step=0.1878
episode=58, steps=478, server_farm_reward=57.3110, server_reward=59.1380, episode_total_reward=116.4490, avg_reward_per_step=0.2436
episode=59, steps=456, server_farm_reward=52.0660, server_reward=53.6920, episode_total_reward=105.7580, avg_reward_per_step=0.2319
episode=60, steps=466, server_farm_reward=52.9580, server_reward=54.4320, episode_total_reward=107.3900, avg_reward_per_step=0.2305
episode=61, steps=478, server_farm_reward=56.3110, server_reward=58.0740, episode_total_reward=114.3850, avg_reward_per_step=0.2393
episode=62, steps=470, server_farm_reward=58.0090, server_reward=59.7300, episode_total_reward=117.7390, avg_reward_per_step=0.2505
episode=63, steps=466, server_farm_reward=56.2840, server_reward=57.9200, episode_total_reward=114.2040, avg_reward_per_step=0.2451
episode=64, steps=468, server_farm_reward=53.9030, server_reward=55.5260, episode_total_reward=109.4290, avg_reward_per_step=0.2338
episode=65, steps=466, server_farm_reward=55.5210, server_reward=57.1580, episode_total_reward=112.6790, avg_reward_per_step=0.2418
episode=66, steps=478, server_farm_reward=57.4940, server_reward=59.1760, episode_total_reward=116.6700, avg_reward_per_step=0.2441
episode=67, steps=494, server_farm_reward=59.0890, server_reward=60.9540, episode_total_reward=120.0430, avg_reward_per_step=0.2430
episode=68, steps=486, server_farm_reward=59.4190, server_reward=61.1460, episode_total_reward=120.5650, avg_reward_per_step=0.2481
episode=69, steps=458, server_farm_reward=49.5330, server_reward=51.0300, episode_total_reward=100.5630, avg_reward_per_step=0.2196
episode=70, steps=476, server_farm_reward=53.3350, server_reward=54.9060, episode_total_reward=108.2410, avg_reward_per_step=0.2274
episode=71, steps=452, server_farm_reward=50.9580, server_reward=52.5240, episode_total_reward=103.4820, avg_reward_per_step=0.2289
episode=72, steps=460, server_farm_reward=56.0700, server_reward=57.6040, episode_total_reward=113.6740, avg_reward_per_step=0.2471
episode=73, steps=466, server_farm_reward=56.4570, server_reward=58.0340, episode_total_reward=114.4910, avg_reward_per_step=0.2457
episode=74, steps=456, server_farm_reward=49.3810, server_reward=51.0340, episode_total_reward=100.4150, avg_reward_per_step=0.2202
episode=75, steps=458, server_farm_reward=47.4950, server_reward=48.9900, episode_total_reward=96.4850, avg_reward_per_step=0.2107
episode=76, steps=466, server_farm_reward=55.1490, server_reward=56.8340, episode_total_reward=111.9830, avg_reward_per_step=0.2403
episode=77, steps=448, server_farm_reward=49.7170, server_reward=51.3060, episode_total_reward=101.0230, avg_reward_per_step=0.2255
episode=78, steps=466, server_farm_reward=56.1040, server_reward=57.7960, episode_total_reward=113.9000, avg_reward_per_step=0.2444
episode=79, steps=490, server_farm_reward=60.3210, server_reward=61.9940, episode_total_reward=122.3150, avg_reward_per_step=0.2496
episode=80, steps=474, server_farm_reward=53.8820, server_reward=55.4600, episode_total_reward=109.3420, avg_reward_per_step=0.2307
episode=81, steps=460, server_farm_reward=60.4180, server_reward=62.0280, episode_total_reward=122.4460, avg_reward_per_step=0.2662
episode=82, steps=480, server_farm_reward=57.3220, server_reward=59.1960, episode_total_reward=116.5180, avg_reward_per_step=0.2427
episode=83, steps=454, server_farm_reward=50.4630, server_reward=52.0900, episode_total_reward=102.5530, avg_reward_per_step=0.2259
episode=84, steps=466, server_farm_reward=50.7120, server_reward=52.3600, episode_total_reward=103.0720, avg_reward_per_step=0.2212
episode=85, steps=486, server_farm_reward=55.6500, server_reward=57.3320, episode_total_reward=112.9820, avg_reward_per_step=0.2325
episode=86, steps=460, server_farm_reward=52.7110, server_reward=54.1020, episode_total_reward=106.8130, avg_reward_per_step=0.2322
episode=87, steps=460, server_farm_reward=59.4870, server_reward=61.2820, episode_total_reward=120.7690, avg_reward_per_step=0.2625
episode=88, steps=470, server_farm_reward=55.3850, server_reward=57.0060, episode_total_reward=112.3910, avg_reward_per_step=0.2391
episode=89, steps=468, server_farm_reward=53.1050, server_reward=54.7700, episode_total_reward=107.8750, avg_reward_per_step=0.2305
episode=90, steps=478, server_farm_reward=57.6090, server_reward=59.2740, episode_total_reward=116.8830, avg_reward_per_step=0.2445
episode=91, steps=458, server_farm_reward=54.3620, server_reward=55.8800, episode_total_reward=110.2420, avg_reward_per_step=0.2407
episode=92, steps=466, server_farm_reward=54.8890, server_reward=56.4940, episode_total_reward=111.3830, avg_reward_per_step=0.2390
episode=93, steps=478, server_farm_reward=56.3250, server_reward=57.9100, episode_total_reward=114.2350, avg_reward_per_step=0.2390
episode=94, steps=474, server_farm_reward=64.4060, server_reward=66.1720, episode_total_reward=130.5780, avg_reward_per_step=0.2755
episode=95, steps=474, server_farm_reward=56.6780, server_reward=58.4240, episode_total_reward=115.1020, avg_reward_per_step=0.2428
episode=96, steps=458, server_farm_reward=50.1320, server_reward=51.6200, episode_total_reward=101.7520, avg_reward_per_step=0.2222
episode=97, steps=448, server_farm_reward=47.0110, server_reward=48.7180, episode_total_reward=95.7290, avg_reward_per_step=0.2137
episode=98, steps=472, server_farm_reward=52.0630, server_reward=53.6460, episode_total_reward=105.7090, avg_reward_per_step=0.2240
episode=99, steps=466, server_farm_reward=53.1790, server_reward=54.8060, episode_total_reward=107.9850, avg_reward_per_step=0.2317
episode=100, steps=448, server_farm_reward=41.7530, server_reward=43.1140, episode_total_reward=84.8670, avg_reward_per_step=0.1894
episode=101, steps=464, server_farm_reward=50.4230, server_reward=51.9220, episode_total_reward=102.3450, avg_reward_per_step=0.2206
episode=102, steps=442, server_farm_reward=47.7800, server_reward=49.3880, episode_total_reward=97.1680, avg_reward_per_step=0.2198
episode=103, steps=484, server_farm_reward=63.5630, server_reward=65.4940, episode_total_reward=129.0570, avg_reward_per_step=0.2666
episode=104, steps=454, server_farm_reward=44.5390, server_reward=45.9740, episode_total_reward=90.5130, avg_reward_per_step=0.1994
episode=105, steps=488, server_farm_reward=59.0820, server_reward=60.8600, episode_total_reward=119.9420, avg_reward_per_step=0.2458
episode=106, steps=442, server_farm_reward=43.5120, server_reward=45.0080, episode_total_reward=88.5200, avg_reward_per_step=0.2003
episode=107, steps=442, server_farm_reward=52.4130, server_reward=54.1580, episode_total_reward=106.5710, avg_reward_per_step=0.2411
episode=108, steps=466, server_farm_reward=48.9620, server_reward=50.7320, episode_total_reward=99.6940, avg_reward_per_step=0.2139
episode=109, steps=462, server_farm_reward=52.7830, server_reward=54.2140, episode_total_reward=106.9970, avg_reward_per_step=0.2316
episode=110, steps=448, server_farm_reward=52.4410, server_reward=54.0180, episode_total_reward=106.4590, avg_reward_per_step=0.2376
episode=111, steps=480, server_farm_reward=57.6640, server_reward=59.3600, episode_total_reward=117.0240, avg_reward_per_step=0.2438
episode=112, steps=478, server_farm_reward=57.4840, server_reward=59.0720, episode_total_reward=116.5560, avg_reward_per_step=0.2438
episode=113, steps=480, server_farm_reward=51.1560, server_reward=52.7200, episode_total_reward=103.8760, avg_reward_per_step=0.2164
episode=114, steps=454, server_farm_reward=49.9740, server_reward=51.6960, episode_total_reward=101.6700, avg_reward_per_step=0.2239
episode=115, steps=470, server_farm_reward=54.5020, server_reward=56.3360, episode_total_reward=110.8380, avg_reward_per_step=0.2358
episode=116, steps=448, server_farm_reward=49.5910, server_reward=51.0100, episode_total_reward=100.6010, avg_reward_per_step=0.2246
episode=117, steps=460, server_farm_reward=52.4010, server_reward=54.1940, episode_total_reward=106.5950, avg_reward_per_step=0.2317
episode=118, steps=462, server_farm_reward=53.6970, server_reward=55.3740, episode_total_reward=109.0710, avg_reward_per_step=0.2361
episode=119, steps=452, server_farm_reward=47.8870, server_reward=49.4100, episode_total_reward=97.2970, avg_reward_per_step=0.2153
episode=120, steps=466, server_farm_reward=55.8670, server_reward=57.5780, episode_total_reward=113.4450, avg_reward_per_step=0.2434
episode=121, steps=492, server_farm_reward=55.7120, server_reward=57.4600, episode_total_reward=113.1720, avg_reward_per_step=0.2300
episode=122, steps=440, server_farm_reward=45.6790, server_reward=47.0220, episode_total_reward=92.7010, avg_reward_per_step=0.2107
episode=123, steps=492, server_farm_reward=60.6130, server_reward=62.4580, episode_total_reward=123.0710, avg_reward_per_step=0.2501
episode=124, steps=478, server_farm_reward=57.9150, server_reward=59.8220, episode_total_reward=117.7370, avg_reward_per_step=0.2463
episode=125, steps=456, server_farm_reward=51.5420, server_reward=53.0680, episode_total_reward=104.6100, avg_reward_per_step=0.2294
episode=126, steps=444, server_farm_reward=47.9330, server_reward=49.3780, episode_total_reward=97.3110, avg_reward_per_step=0.2192
episode=127, steps=466, server_farm_reward=48.9270, server_reward=50.7220, episode_total_reward=99.6490, avg_reward_per_step=0.2138
episode=128, steps=490, server_farm_reward=63.6470, server_reward=65.5580, episode_total_reward=129.2050, avg_reward_per_step=0.2637
