episode=1, steps=928, epsilon=1.0000, server_farm_reward=586.2400, server_reward=497.4400, episode_total_reward=1083.6800, avg_reward_per_step=1.1678, rejected_tasks=39, completed_jobs=55, wall_time=165.05
episode=2, steps=710, epsilon=1.0000, server_farm_reward=433.6700, server_reward=365.5400, episode_total_reward=799.2100, avg_reward_per_step=1.1256, rejected_tasks=93, completed_jobs=55, wall_time=167.81
episode=3, steps=690, epsilon=1.0000, server_farm_reward=414.7100, server_reward=343.8100, episode_total_reward=758.5200, avg_reward_per_step=1.0993, rejected_tasks=90, completed_jobs=52, wall_time=164.21
episode=4, steps=836, epsilon=1.0000, server_farm_reward=531.8800, server_reward=444.9800, episode_total_reward=976.8600, avg_reward_per_step=1.1685, rejected_tasks=61, completed_jobs=56, wall_time=135.59
episode=5, steps=798, epsilon=1.0000, server_farm_reward=468.8700, server_reward=389.9100, episode_total_reward=858.7800, avg_reward_per_step=1.0762, rejected_tasks=97, completed_jobs=56, wall_time=170.41
episode=6, steps=988, epsilon=1.0000, server_farm_reward=679.8800, server_reward=581.8800, episode_total_reward=1261.7600, avg_reward_per_step=1.2771, rejected_tasks=28, completed_jobs=58, wall_time=185.52
episode=7, steps=676, epsilon=0.9868, server_farm_reward=408.8900, server_reward=325.7100, episode_total_reward=734.6000, avg_reward_per_step=1.0867, rejected_tasks=96, completed_jobs=55, wall_time=153.4
episode=8, steps=692, epsilon=0.9722, server_farm_reward=408.0500, server_reward=338.6000, episode_total_reward=746.6500, avg_reward_per_step=1.0790, rejected_tasks=96, completed_jobs=55, wall_time=168.54
episode=9, steps=762, epsilon=0.9561, server_farm_reward=481.2400, server_reward=397.0000, episode_total_reward=878.2400, avg_reward_per_step=1.1525, rejected_tasks=67, completed_jobs=55, wall_time=139.81
episode=10, steps=790, epsilon=0.9394, server_farm_reward=410.2800, server_reward=343.3200, episode_total_reward=753.6000, avg_reward_per_step=0.9539, rejected_tasks=113, completed_jobs=54, wall_time=130.95
episode=11, steps=676, epsilon=0.9251, server_farm_reward=381.2400, server_reward=309.6600, episode_total_reward=690.9000, avg_reward_per_step=1.0220, rejected_tasks=121, completed_jobs=55, wall_time=135.37
episode=12, steps=668, epsilon=0.9110, server_farm_reward=404.8500, server_reward=333.7100, episode_total_reward=738.5600, avg_reward_per_step=1.1056, rejected_tasks=79, completed_jobs=54, wall_time=180.02
episode=13, steps=780, epsilon=0.8946, server_farm_reward=477.2100, server_reward=411.1000, episode_total_reward=888.3100, avg_reward_per_step=1.1389, rejected_tasks=76, completed_jobs=54, wall_time=208.33
episode=14, steps=756, epsilon=0.8786, server_farm_reward=404.5800, server_reward=335.5900, episode_total_reward=740.1700, avg_reward_per_step=0.9791, rejected_tasks=132, completed_jobs=54, wall_time=163.78
