episode=1, steps=738, server_farm_reward=465.6300, server_reward=392.1100, episode_total_reward=857.7400, avg_reward_per_step=1.1622, rejected_tasks=62, completed_jobs=54, wall_time=158.43, policy_loss=-0.0549, value_loss=1.2611
episode=2, steps=814, server_farm_reward=507.8900, server_reward=422.0400, episode_total_reward=929.9300, avg_reward_per_step=1.1424, rejected_tasks=45, completed_jobs=56, wall_time=158.43, policy_loss=-0.0549, value_loss=0.4283
episode=3, steps=724, server_farm_reward=389.7200, server_reward=316.2300, episode_total_reward=705.9500, avg_reward_per_step=0.9751, rejected_tasks=118, completed_jobs=56, wall_time=172.71, policy_loss=-0.0453, value_loss=0.3951
episode=4, steps=716, server_farm_reward=418.0300, server_reward=359.5400, episode_total_reward=777.5700, avg_reward_per_step=1.0860, rejected_tasks=79, completed_jobs=53, wall_time=187.09, policy_loss=-0.0502, value_loss=0.3223
episode=5, steps=650, server_farm_reward=369.9200, server_reward=306.7700, episode_total_reward=676.6900, avg_reward_per_step=1.0411, rejected_tasks=108, completed_jobs=53, wall_time=171.9, policy_loss=-0.0491, value_loss=0.2836
episode=6, steps=718, server_farm_reward=414.0700, server_reward=351.1200, episode_total_reward=765.1900, avg_reward_per_step=1.0657, rejected_tasks=117, completed_jobs=54, wall_time=178.01, policy_loss=-0.0491, value_loss=0.2551
episode=7, steps=756, server_farm_reward=472.8300, server_reward=406.2100, episode_total_reward=879.0400, avg_reward_per_step=1.1628, rejected_tasks=96, completed_jobs=54, wall_time=153.48, policy_loss=-0.0550, value_loss=0.1970
episode=8, steps=682, server_farm_reward=426.2800, server_reward=348.6000, episode_total_reward=774.8800, avg_reward_per_step=1.1362, rejected_tasks=67, completed_jobs=54, wall_time=188.66, policy_loss=-0.0506, value_loss=0.1977
episode=9, steps=812, server_farm_reward=482.5900, server_reward=401.5900, episode_total_reward=884.1800, avg_reward_per_step=1.0889, rejected_tasks=63, completed_jobs=55, wall_time=165.38, policy_loss=-0.0466, value_loss=0.1553
episode=10, steps=638, server_farm_reward=340.9500, server_reward=289.9900, episode_total_reward=630.9400, avg_reward_per_step=0.9889, rejected_tasks=87, completed_jobs=52, wall_time=159.49, policy_loss=-0.0425, value_loss=0.1489
episode=11, steps=650, server_farm_reward=340.1300, server_reward=268.2500, episode_total_reward=608.3800, avg_reward_per_step=0.9360, rejected_tasks=117, completed_jobs=55, wall_time=176.56, policy_loss=-0.0378, value_loss=0.1375
episode=12, steps=588, server_farm_reward=227.7100, server_reward=172.9600, episode_total_reward=400.6700, avg_reward_per_step=0.6814, rejected_tasks=148, completed_jobs=53, wall_time=190.68, policy_loss=-0.0228, value_loss=0.1725
episode=13, steps=616, server_farm_reward=287.2200, server_reward=222.0000, episode_total_reward=509.2200, avg_reward_per_step=0.8267, rejected_tasks=98, completed_jobs=52, wall_time=172.43, policy_loss=-0.0288, value_loss=0.1311
episode=14, steps=620, server_farm_reward=304.3700, server_reward=246.8900, episode_total_reward=551.2600, avg_reward_per_step=0.8891, rejected_tasks=172, completed_jobs=54, wall_time=164.43, policy_loss=-0.0294, value_loss=0.1143
episode=15, steps=714, server_farm_reward=388.8500, server_reward=326.2400, episode_total_reward=715.0900, avg_reward_per_step=1.0015, rejected_tasks=113, completed_jobs=52, wall_time=171.83, policy_loss=-0.0356, value_loss=0.0980
