episode=1, steps=930, epsilon=1.0000, server_farm_reward=622.4300, server_reward=527.5300, episode_total_reward=1149.9600, avg_reward_per_step=1.2365, rejected_tasks=39, completed_jobs=58, wall_time=181.09
episode=2, steps=948, epsilon=1.0000, server_farm_reward=630.9300, server_reward=541.6300, episode_total_reward=1172.5600, avg_reward_per_step=1.2369, rejected_tasks=55, completed_jobs=58, wall_time=149.35
episode=3, steps=966, epsilon=1.0000, server_farm_reward=650.2700, server_reward=562.1500, episode_total_reward=1212.4200, avg_reward_per_step=1.2551, rejected_tasks=35, completed_jobs=57, wall_time=186.18
episode=4, steps=736, epsilon=1.0000, server_farm_reward=449.4800, server_reward=381.2700, episode_total_reward=830.7500, avg_reward_per_step=1.1287, rejected_tasks=86, completed_jobs=55, wall_time=164.61
episode=5, steps=710, epsilon=1.0000, server_farm_reward=388.1300, server_reward=323.8200, episode_total_reward=711.9500, avg_reward_per_step=1.0027, rejected_tasks=115, completed_jobs=53, wall_time=133.63
episode=6, steps=614, epsilon=1.0000, server_farm_reward=356.8400, server_reward=297.8300, episode_total_reward=654.6700, avg_reward_per_step=1.0662, rejected_tasks=102, completed_jobs=53, wall_time=173.91
episode=7, steps=874, epsilon=0.9836, server_farm_reward=546.3500, server_reward=467.9700, episode_total_reward=1014.3200, avg_reward_per_step=1.1605, rejected_tasks=62, completed_jobs=56, wall_time=187.07
episode=8, steps=642, epsilon=0.9700, server_farm_reward=322.5000, server_reward=257.0100, episode_total_reward=579.5100, avg_reward_per_step=0.9027, rejected_tasks=153, completed_jobs=53, wall_time=150.37
episode=9, steps=696, epsilon=0.9553, server_farm_reward=426.5900, server_reward=357.0700, episode_total_reward=783.6600, avg_reward_per_step=1.1259, rejected_tasks=134, completed_jobs=55, wall_time=179.63
episode=10, steps=948, epsilon=0.9353, server_farm_reward=598.8000, server_reward=509.6400, episode_total_reward=1108.4400, avg_reward_per_step=1.1692, rejected_tasks=60, completed_jobs=57, wall_time=172.82
episode=11, steps=838, epsilon=0.9176, server_farm_reward=479.8600, server_reward=407.6700, episode_total_reward=887.5300, avg_reward_per_step=1.0591, rejected_tasks=100, completed_jobs=54, wall_time=151.79
episode=12, steps=762, epsilon=0.9015, server_farm_reward=448.0400, server_reward=374.5400, episode_total_reward=822.5800, avg_reward_per_step=1.0795, rejected_tasks=88, completed_jobs=55, wall_time=137.06
episode=13, steps=770, epsilon=0.8853, server_farm_reward=456.3500, server_reward=379.3700, episode_total_reward=835.7200, avg_reward_per_step=1.0854, rejected_tasks=110, completed_jobs=55, wall_time=152.79
episode=14, steps=774, epsilon=0.8689, server_farm_reward=482.7500, server_reward=410.6800, episode_total_reward=893.4300, avg_reward_per_step=1.1543, rejected_tasks=83, completed_jobs=54, wall_time=174.39
episode=15, steps=682, epsilon=0.8545, server_farm_reward=389.6800, server_reward=332.6600, episode_total_reward=722.3400, avg_reward_per_step=1.0591, rejected_tasks=153, completed_jobs=53, wall_time=163.59
episode=16, steps=802, epsilon=0.8376, server_farm_reward=496.4700, server_reward=421.2000, episode_total_reward=917.6700, avg_reward_per_step=1.1442, rejected_tasks=62, completed_jobs=56, wall_time=188.43
episode=17, steps=1066, epsilon=0.8151, server_farm_reward=719.4800, server_reward=616.2200, episode_total_reward=1335.7000, avg_reward_per_step=1.2530, rejected_tasks=34, completed_jobs=59, wall_time=172.08
episode=18, steps=850, epsilon=0.7972, server_farm_reward=492.6200, server_reward=414.9400, episode_total_reward=907.5600, avg_reward_per_step=1.0677, rejected_tasks=80, completed_jobs=54, wall_time=182.15
episode=19, steps=742, epsilon=0.7815, server_farm_reward=408.7300, server_reward=339.9700, episode_total_reward=748.7000, avg_reward_per_step=1.0090, rejected_tasks=126, completed_jobs=53, wall_time=158.61
episode=20, steps=782, epsilon=0.7650, server_farm_reward=498.1900, server_reward=415.5300, episode_total_reward=913.7200, avg_reward_per_step=1.1684, rejected_tasks=61, completed_jobs=55, wall_time=152.68
episode=21, steps=712, epsilon=0.7500, server_farm_reward=426.8900, server_reward=360.3300, episode_total_reward=787.2200, avg_reward_per_step=1.1056, rejected_tasks=65, completed_jobs=52, wall_time=154.91
episode=22, steps=642, epsilon=0.7364, server_farm_reward=325.8900, server_reward=273.0700, episode_total_reward=598.9600, avg_reward_per_step=0.9330, rejected_tasks=147, completed_jobs=52, wall_time=155.63
episode=23, steps=650, epsilon=0.7227, server_farm_reward=350.1700, server_reward=284.3200, episode_total_reward=634.4900, avg_reward_per_step=0.9761, rejected_tasks=148, completed_jobs=53, wall_time=146.94
episode=24, steps=678, epsilon=0.7084, server_farm_reward=394.3000, server_reward=323.7100, episode_total_reward=718.0100, avg_reward_per_step=1.0590, rejected_tasks=87, completed_jobs=55, wall_time=163.57
episode=25, steps=652, epsilon=0.6946, server_farm_reward=379.5500, server_reward=324.1400, episode_total_reward=703.6900, avg_reward_per_step=1.0793, rejected_tasks=100, completed_jobs=51, wall_time=160.42
episode=26, steps=716, epsilon=0.6795, server_farm_reward=394.1700, server_reward=327.4400, episode_total_reward=721.6100, avg_reward_per_step=1.0078, rejected_tasks=86, completed_jobs=53, wall_time=159.18
episode=27, steps=612, epsilon=0.6666, server_farm_reward=281.9000, server_reward=232.5200, episode_total_reward=514.4200, avg_reward_per_step=0.8406, rejected_tasks=156, completed_jobs=53, wall_time=180.44
episode=28, steps=786, epsilon=0.6500, server_farm_reward=468.9100, server_reward=395.4700, episode_total_reward=864.3800, avg_reward_per_step=1.0997, rejected_tasks=104, completed_jobs=56, wall_time=167.29
episode=29, steps=662, epsilon=0.6360, server_farm_reward=357.0300, server_reward=288.3500, episode_total_reward=645.3800, avg_reward_per_step=0.9749, rejected_tasks=115, completed_jobs=55, wall_time=164.17
episode=30, steps=584, epsilon=0.6237, server_farm_reward=301.8200, server_reward=260.4400, episode_total_reward=562.2600, avg_reward_per_step=0.9628, rejected_tasks=116, completed_jobs=50, wall_time=146.89
episode=31, steps=730, epsilon=0.6083, server_farm_reward=366.3700, server_reward=307.0700, episode_total_reward=673.4400, avg_reward_per_step=0.9225, rejected_tasks=87, completed_jobs=51, wall_time=174.11
episode=32, steps=704, epsilon=0.5934, server_farm_reward=389.2500, server_reward=323.3900, episode_total_reward=712.6400, avg_reward_per_step=1.0123, rejected_tasks=134, completed_jobs=53, wall_time=165.05
episode=33, steps=640, epsilon=0.5799, server_farm_reward=298.9200, server_reward=246.1500, episode_total_reward=545.0700, avg_reward_per_step=0.8517, rejected_tasks=128, completed_jobs=53, wall_time=174.01
episode=34, steps=802, epsilon=0.5630, server_farm_reward=505.3900, server_reward=424.4600, episode_total_reward=929.8500, avg_reward_per_step=1.1594, rejected_tasks=70, completed_jobs=54, wall_time=186.44
episode=35, steps=644, epsilon=0.5494, server_farm_reward=301.8600, server_reward=242.1500, episode_total_reward=544.0100, avg_reward_per_step=0.8447, rejected_tasks=177, completed_jobs=54, wall_time=153.22
