episode=1, steps=656, epsilon=0.9742, server_farm_reward=370.7400, server_reward=304.0900, episode_total_reward=674.8300, avg_reward_per_step=1.0287, rejected_tasks=93, completed_jobs=54, wall_time=150.24
episode=2, steps=922, epsilon=0.9377, server_farm_reward=596.6100, server_reward=506.6400, episode_total_reward=1103.2500, avg_reward_per_step=1.1966, rejected_tasks=63, completed_jobs=58, wall_time=182.41
episode=3, steps=700, epsilon=0.9100, server_farm_reward=440.4000, server_reward=366.0000, episode_total_reward=806.4000, avg_reward_per_step=1.1520, rejected_tasks=91, completed_jobs=54, wall_time=180.57
episode=4, steps=1008, epsilon=0.8701, server_farm_reward=690.0000, server_reward=587.6500, episode_total_reward=1277.6500, avg_reward_per_step=1.2675, rejected_tasks=15, completed_jobs=57, wall_time=167.39
episode=5, steps=896, epsilon=0.8346, server_farm_reward=617.3600, server_reward=519.8300, episode_total_reward=1137.1900, avg_reward_per_step=1.2692, rejected_tasks=23, completed_jobs=57, wall_time=143.13
episode=6, steps=644, epsilon=0.8091, server_farm_reward=383.1200, server_reward=315.9800, episode_total_reward=699.1000, avg_reward_per_step=1.0856, rejected_tasks=65, completed_jobs=54, wall_time=155.51
episode=7, steps=658, epsilon=0.7830, server_farm_reward=390.2000, server_reward=318.0300, episode_total_reward=708.2300, avg_reward_per_step=1.0763, rejected_tasks=88, completed_jobs=54, wall_time=153.11
episode=8, steps=906, epsilon=0.7472, server_farm_reward=537.7200, server_reward=461.6600, episode_total_reward=999.3800, avg_reward_per_step=1.1031, rejected_tasks=72, completed_jobs=54, wall_time=133.75
episode=9, steps=934, epsilon=0.7102, server_farm_reward=619.8700, server_reward=523.5200, episode_total_reward=1143.3900, avg_reward_per_step=1.2242, rejected_tasks=43, completed_jobs=56, wall_time=185.52
episode=10, steps=828, epsilon=0.6774, server_farm_reward=519.1500, server_reward=436.9300, episode_total_reward=956.0800, avg_reward_per_step=1.1547, rejected_tasks=91, completed_jobs=57, wall_time=150.51
episode=11, steps=868, epsilon=0.6430, server_farm_reward=550.4900, server_reward=467.5500, episode_total_reward=1018.0400, avg_reward_per_step=1.1729, rejected_tasks=63, completed_jobs=55, wall_time=173.85
episode=12, steps=846, epsilon=0.6095, server_farm_reward=532.5000, server_reward=451.0300, episode_total_reward=983.5300, avg_reward_per_step=1.1626, rejected_tasks=74, completed_jobs=57, wall_time=180.91
episode=13, steps=982, epsilon=0.5706, server_farm_reward=641.3000, server_reward=546.1400, episode_total_reward=1187.4400, avg_reward_per_step=1.2092, rejected_tasks=47, completed_jobs=58, wall_time=178.61
episode=14, steps=706, epsilon=0.5427, server_farm_reward=406.0500, server_reward=340.6500, episode_total_reward=746.7000, avg_reward_per_step=1.0576, rejected_tasks=130, completed_jobs=55, wall_time=139.13
